iter	Passed	Remaining
804	986	238
805	987	237
806	988	236
807	988	234
808	990	233
809	991	232
810	992	231
811	993	230
812	994	228
813	995	227
814	996	226
815	997	224
816	998	223
817	999	222
818	999	220
819	1000	219
820	1001	218
821	1002	217
822	1002	215
823	1003	214
824	1004	213
825	1005	211
826	1005	210
827	1006	209
828	1007	207
829	1007	206
830	1008	205
831	1009	203
832	1010	202
833	1012	201
834	1012	200
835	1013	198
836	1014	197
837	1015	196
838	1015	194
839	1016	193
840	1017	192
841	1018	191
842	1018	189
843	1019	188
844	1020	187
845	1021	185
846	1021	184
847	1022	183
848	1023	181
849	1024	180
850	1027	179
851	1028	178
852	1029	177
853	1030	176
854	1030	174
855	1031	173
856	1032	172
857	1033	170
858	1033	169
859	1034	168
860	1035	167
861	1036	165
862	1036	164
863	1037	163
864	1038	162
865	1039	160
866	1040	159
867	1041	158
868	1042	157
869	1043	155
870	1043	154
871	1044	153
872	1045	152
873	1045	150
874	1046	149
875	1047	148
876	1048	146
877	1048	145
878	1049	144
879	1050	143
880	1051	141
881	1051	140
882	1052	139
883	1054	138
884	1055	137
885	1056	135
886	1056	134
887	1057	133
888	1058	132
889	1059	130
890	1060	129
891	1060	128
892	1061	127
893	1062	125
894	1063	124
895	1063	123
896	1064	122
897	1065	121
898	1066	119
899	1066	118
900	1067	117
901	1069	116
902	1070	114
903	1071	113
904	1071	112
905	1072	111
906	1073	110
907	1074	108
908	1074	107
909	1075	106
910	1076	105
911	1077	103
912	1077	102
913	1078	101
914	1079	100
915	1080	99
916	1080	97
917	1081	96
918	1082	95
919	1084	94
920	1084	93
921	1085	91
922	1086	90
923	1086	89
924	1087	88
925	1088	86
926	1089	85
927	1089	84
928	1090	83
929	1091	82
930	1092	80
931	1092	79
932	1093	78
933	1094	77
934	1095	76
935	1095	74
936	1096	73
937	1098	72
938	1099	71
939	1099	70
940	1100	69
941	1101	67
942	1102	66
943	1103	65
944	1103	64
945	1104	63
946	1105	61
947	1106	60
948	1107	59
949	1108	58
950	1109	57
951	1109	55
952	1110	54
953	1112	53
954	1113	52
955	1114	51
956	1114	50
957	1115	48
958	1116	47
959	1116	46
960	1117	45
961	1118	44
962	1119	42
963	1119	41
964	1120	40
965	1121	39
966	1122	38
967	1122	37
968	1123	35
969	1124	34
970	1125	33
971	1126	32
972	1128	31
973	1129	30
974	1130	28
975	1131	27
976	1133	26
977	1133	25
978	1134	24
979	1135	23
980	1135	22
981	1136	20
982	1137	19
983	1138	18
984	1138	17
985	1139	16
986	1140	15
987	1141	13
988	1142	12
989	1143	11
990	1144	10
991	1145	9
992	1145	8
993	1146	6
994	1147	5
995	1148	4
996	1148	3
997	1149	2
998	1150	1
999	1150	0
